N;Avg time
1;4,48920000000000000000
2;7,80210000000000000000
3;11,46280000000000000000
4;14,64390000000000000000
5;15,52500000000000000000
6;18,38230000000000000000
7;21,28160000000000000000
8;26,47420000000000000000
9;29,49670000000000000000
10;31,64310000000000000000
11;33,07090000000000000000
12;37,28230000000000000000
13;38,95680000000000000000
14;42,49560000000000000000
15;46,21550000000000000000
16;48,74910000000000000000
17;51,02330000000000000000
18;53,19880000000000000000
19;56,09850000000000000000
20;59,29930000000000000000
